contents_id	actor_account_name	user_events	n_prev	n_page_jump	n_memo	n_open_rec
f0f6ba4b5e0000340312d33c212c3ae8	2939	66	10	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2822	66	4	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2886	66	6	0	0	4
f0f6ba4b5e0000340312d33c212c3ae8	2866	66	7	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	2948	65	10	0	0	4
f0f6ba4b5e0000340312d33c212c3ae8	1769	65	0	20	0	6
f0f6ba4b5e0000340312d33c212c3ae8	2843	64	5	0	11	2
f0f6ba4b5e0000340312d33c212c3ae8	2930	62	2	0	0	4
f0f6ba4b5e0000340312d33c212c3ae8	2796	62	6	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	1757	60	3	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	2891	60	2	0	8	1
f0f6ba4b5e0000340312d33c212c3ae8	2954	60	13	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1733	59	1	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	2903	59	3	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	1807	57	4	0	0	0
f0f6ba4b5e0000340312d33c212c3ae8	2931	55	5	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	1751	52	1	0	0	4
f0f6ba4b5e0000340312d33c212c3ae8	1758	52	11	0	0	6
f0f6ba4b5e0000340312d33c212c3ae8	2806	51	3	3	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1706	49	3	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	1709	47	3	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1729	46	5	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2938	46	3	0	0	4
f0f6ba4b5e0000340312d33c212c3ae8	1732	46	1	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2828	46	5	0	0	4
f0f6ba4b5e0000340312d33c212c3ae8	2840	45	2	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	1750	45	3	0	0	4
f0f6ba4b5e0000340312d33c212c3ae8	1772	44	5	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2793	44	4	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1762	43	7	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	1791	43	2	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1802	43	0	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	1811	42	3	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2894	42	1	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	1795	41	5	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2863	41	4	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2865	41	6	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1820	41	5	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	2842	40	1	0	9	1
f0f6ba4b5e0000340312d33c212c3ae8	1752	39	2	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1714	38	5	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	1760	38	2	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	1721	38	4	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	1792	37	4	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2912	37	4	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	1717	37	2	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	277	36	0	1	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2927	36	4	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	1740	36	4	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1818	36	1	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	1800	35	1	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	1799	35	1	1	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2935	35	1	1	2	2
f0f6ba4b5e0000340312d33c212c3ae8	2911	35	2	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1716	34	2	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1798	33	3	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	1778	32	5	0	0	0
f0f6ba4b5e0000340312d33c212c3ae8	2827	32	5	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2856	32	1	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2937	32	0	12	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2874	32	5	0	0	4
f0f6ba4b5e0000340312d33c212c3ae8	1747	31	4	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2957	30	0	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1773	30	1	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2875	30	0	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1812	30	2	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2824	30	2	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2906	30	1	0	0	4
f0f6ba4b5e0000340312d33c212c3ae8	2852	27	1	5	0	0
f0f6ba4b5e0000340312d33c212c3ae8	1774	27	2	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1770	23	0	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2799	22	0	3	0	1
f0f6ba4b5e0000340312d33c212c3ae8	3426	22	0	0	0	0
f0f6ba4b5e0000340312d33c212c3ae8	2919	22	0	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2942	18	1	0	0	0
f0f6ba4b5e0000340312d33c212c3ae8	2817	18	3	1	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1806	12	3	0	0	0
f0f6ba4b5e0000340312d33c212c3ae8	2829	9	0	0	0	0
f0f6ba4b5e0000340312d33c212c3ae8	1753	6	0	2	0	0
f0f6ba4b5e0000340312d33c212c3ae8	1783	6	0	0	0	0
f0f6ba4b5e0000340312d33c212c3ae8	251	6	0	0	0	0
f0f6ba4b5e0000340312d33c212c3ae8	2841	4	0	0	0	0
f0f6ba4b5e0000340312d33c212c3ae8	1730	2	0	0	0	0
f0f6ba4b5e0000340312d33c212c3ae8	1748	2	0	0	0	0
fc192b0c0d270dbf41870a63a8c76c2f	3053	223	11	0	177	2
fc192b0c0d270dbf41870a63a8c76c2f	2962	98	18	0	49	1
fc192b0c0d270dbf41870a63a8c76c2f	2973	94	10	0	40	1
fc192b0c0d270dbf41870a63a8c76c2f	3032	94	8	0	5	1
fc192b0c0d270dbf41870a63a8c76c2f	2974	93	22	0	31	1
fc192b0c0d270dbf41870a63a8c76c2f	3042	66	28	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3011	65	21	0	9	3
fc192b0c0d270dbf41870a63a8c76c2f	3051	65	11	0	0	7
fc192b0c0d270dbf41870a63a8c76c2f	3065	59	27	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	1237	58	3	0	0	4
fc192b0c0d270dbf41870a63a8c76c2f	2961	58	10	0	21	1
fc192b0c0d270dbf41870a63a8c76c2f	2977	57	13	0	5	1
fc192b0c0d270dbf41870a63a8c76c2f	3006	57	12	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	2997	56	21	4	0	2
fc192b0c0d270dbf41870a63a8c76c2f	2978	55	20	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3054	51	5	0	21	2
fc192b0c0d270dbf41870a63a8c76c2f	2994	49	2	0	12	1
fc192b0c0d270dbf41870a63a8c76c2f	2966	48	7	0	16	2
fc192b0c0d270dbf41870a63a8c76c2f	2981	48	19	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3031	47	4	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3043	47	11	0	11	2
fc192b0c0d270dbf41870a63a8c76c2f	3002	46	7	0	0	3
fc192b0c0d270dbf41870a63a8c76c2f	3075	44	19	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3018	43	4	0	11	2
fc192b0c0d270dbf41870a63a8c76c2f	2980	43	9	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3040	42	4	0	8	1
fc192b0c0d270dbf41870a63a8c76c2f	2989	41	4	0	6	1
fc192b0c0d270dbf41870a63a8c76c2f	3034	41	6	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3027	41	14	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3004	41	4	0	7	1
fc192b0c0d270dbf41870a63a8c76c2f	3005	40	2	0	8	1
fc192b0c0d270dbf41870a63a8c76c2f	3070	39	13	0	2	1
fc192b0c0d270dbf41870a63a8c76c2f	3035	38	2	0	18	1
fc192b0c0d270dbf41870a63a8c76c2f	3028	38	4	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3079	38	11	0	10	1
fc192b0c0d270dbf41870a63a8c76c2f	3016	36	6	0	8	1
fc192b0c0d270dbf41870a63a8c76c2f	3060	36	5	0	1	3
fc192b0c0d270dbf41870a63a8c76c2f	3023	36	2	0	11	1
fc192b0c0d270dbf41870a63a8c76c2f	3024	36	5	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3052	35	11	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3049	35	13	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2985	35	4	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3074	34	8	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2976	33	4	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3039	33	7	0	0	6
fc192b0c0d270dbf41870a63a8c76c2f	3063	32	4	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	2979	31	11	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3001	31	7	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	2999	30	6	0	0	3
fc192b0c0d270dbf41870a63a8c76c2f	3029	30	6	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2960	30	4	1	3	1
fc192b0c0d270dbf41870a63a8c76c2f	2996	30	7	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3000	30	12	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2984	29	6	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3009	29	1	0	9	1
fc192b0c0d270dbf41870a63a8c76c2f	2998	28	8	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3026	28	2	0	2	3
fc192b0c0d270dbf41870a63a8c76c2f	3056	28	3	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3047	27	8	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2990	26	5	0	1	2
fc192b0c0d270dbf41870a63a8c76c2f	2986	26	4	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	2963	26	0	0	20	1
fc192b0c0d270dbf41870a63a8c76c2f	2988	25	8	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3015	25	8	0	0	0
fc192b0c0d270dbf41870a63a8c76c2f	3045	25	4	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3064	25	7	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3021	25	4	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3050	25	8	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2987	25	8	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3030	24	3	0	7	1
fc192b0c0d270dbf41870a63a8c76c2f	3058	24	4	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	2982	23	6	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3014	23	4	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2972	23	6	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2993	23	8	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3041	22	3	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2970	22	2	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	2969	22	7	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3048	21	4	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2991	21	1	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	2975	21	3	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3077	21	4	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3017	20	6	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3044	20	7	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2983	20	0	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3078	20	3	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3033	20	2	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3061	19	1	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	2971	19	1	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3020	18	5	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	2995	18	2	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3007	18	2	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3062	18	6	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3059	17	3	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3067	17	2	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3046	16	0	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3037	16	1	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2967	16	2	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2992	16	3	1	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3013	16	4	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3038	15	3	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2964	14	4	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3055	14	0	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3025	14	1	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3076	12	2	0	0	2
fc192b0c0d270dbf41870a63a8c76c2f	3057	12	1	2	0	1
fc192b0c0d270dbf41870a63a8c76c2f	2968	12	3	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3068	11	1	0	0	3
fc192b0c0d270dbf41870a63a8c76c2f	3072	10	3	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3008	9	0	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3010	7	1	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3036	7	1	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3073	7	1	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3019	7	1	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3022	7	0	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3012	6	0	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	3071	5	0	0	0	1
fc192b0c0d270dbf41870a63a8c76c2f	221	3	0	0	0	0
fc192b0c0d270dbf41870a63a8c76c2f	2478	2	0	0	0	0
